iter	RMSE
0	1.911918164e+10
1	1.823003984e+10
2	1.742590006e+10
3	1.661985467e+10
4	1.587621546e+10
5	1.515805605e+10
6	1.450936015e+10
7	1.387637366e+10
8	1.327498531e+10
9	1.266919171e+10
10	1.209839919e+10
11	1.154664702e+10
12	1.104230192e+10
13	1.055315998e+10
14	1.008585804e+10
15	9623870503
16	9200902132
17	8803724999
18	8427897181
19	8059697110
20	7705697958
21	7371086454
22	7064230565
23	6747644441
24	6453494765
25	6187346003
26	5930006978
27	5676510391
28	5421911361
29	5182641379
30	4966749727
31	4762103365
32	4563281313
33	4368996783
34	4186832241
35	4020212114
36	3846833153
37	3695709071
38	3549470926
39	3399892335
40	3272144583
41	3143514947
42	3026972196
43	2906953890
44	2789009545
45	2683798990
46	2580113902
47	2485974660
48	2392495558
49	2295776743
50	2204901748
51	2117522047
52	2033796824
53	1961173289
54	1895184144
55	1829028542
56	1766193879
57	1702028516
58	1643763608
59	1583891819
60	1525156310
61	1474447965
62	1423090688
63	1372206539
64	1328269013
65	1282752595
66	1241772331
67	1203136071
68	1167809270
69	1131845912
70	1095226420
71	1063580716
72	1032050288
73	999877341.2
74	970212561.4
75	939572449.6
76	913854469.4
77	888423012.3
78	866039222.1
79	843186183.9
80	820623552.9
81	797683190
82	776891936.3
83	755129927.9
84	735309861.5
85	714993862.2
86	698852894.6
87	683754414.2
88	668471781.7
89	652796426.4
90	636868745.9
91	624190627.8
92	608839410.6
93	595729418
94	582561654.2
95	572220277.6
96	561542546.6
97	551241855.1
98	538988134.1
99	526981202.4
100	517191281.9
101	508453118.9
102	499520459.8
103	491420427.3
104	483268931.1
105	473068116.8
106	466354597.1
107	458598867.4
108	450570928.8
109	442795590.5
110	436958112.6
111	430467426.4
112	423294230
113	416873341.4
114	410245367.9
115	403483506.1
116	397318194.5
117	389764633.2
118	384412008.9
119	379418113.9
120	373799087.9
121	368143849.5
122	363022136.5
123	357860474.3
124	352751951.5
125	348493656
126	345086621.1
127	339799928.4
128	335021746.5
129	331473138.3
130	328323040.7
131	323908740.5
132	320399930.8
133	316263662
134	313358183.9
135	310546008.7
136	307359559.8
137	304593777.6
138	301639847.5
139	298149118.9
140	295759099.8
141	293198772.1
142	290216600.7
143	287438683
144	285413774.6
145	283289887.6
146	280330237.8
147	278116843.7
148	276041676.6
149	273894472.6
150	272129627.6
151	269824420.1
152	267940164.5
153	265890184.7
154	264093748.7
155	261866707.8
156	259906600.2
157	258601351.1
158	256420920.5
159	254496290.1
160	252912237.1
161	250254365.6
162	247977678.4
163	246622436.3
164	244913351.7
165	243472291.7
166	242171192.7
167	240768184.8
168	238764802.7
169	236788777.9
170	235132085.1
171	234091564.7
172	232369563.5
173	231073101
174	230168016.6
175	229340717.8
176	228350418.2
