iter	Passed	Remaining
0	8	8634
1	14	7358
2	22	7323
3	28	7158
4	34	6949
5	40	6750
6	46	6566
7	53	6610
8	58	6465
9	63	6332
10	69	6284
11	75	6199
12	81	6153
13	87	6156
14	93	6125
15	99	6138
16	105	6084
17	111	6082
18	118	6104
19	125	6132
20	132	6184
21	138	6174
22	145	6166
23	152	6213
24	158	6181
25	165	6212
26	171	6165
27	176	6115
28	181	6090
29	186	6037
30	191	5996
31	197	5971
32	202	5926
33	207	5891
34	214	5908
35	219	5867
36	224	5840
37	230	5823
38	234	5790
39	240	5761
40	246	5758
41	251	5739
42	257	5728
43	262	5701
44	267	5671
45	272	5656
46	277	5634
47	282	5609
48	288	5590
49	293	5579
50	298	5555
51	304	5542
52	309	5532
53	314	5510
54	321	5522
55	327	5522
56	333	5513
57	339	5509
58	344	5491
59	349	5473
60	355	5472
61	360	5451
62	365	5435
63	371	5430
64	376	5411
65	381	5395
66	387	5393
67	393	5388
68	398	5376
69	404	5378
70	410	5366
71	415	5351
72	421	5354
73	426	5338
74	431	5322
75	437	5317
76	442	5303
77	448	5296
78	454	5296
79	460	5296
80	467	5306
81	474	5306
82	479	5298
83	485	5296
84	491	5286
85	497	5285
86	503	5282
87	508	5270
88	515	5279
89	523	5291
90	530	5298
91	537	5303
92	544	5310
93	551	5319
94	558	5317
95	566	5332
96	571	5323
97	578	5323
98	584	5317
99	589	5305
100	596	5312
101	602	5302
102	610	5314
103	616	5309
104	623	5317
105	632	5330
106	638	5329
107	645	5334
108	652	5330
109	660	5347
110	670	5371
111	680	5396
112	687	5399
113	699	5438
114	710	5468
115	718	5478
116	733	5538
117	742	5551
118	750	5558
119	763	5598
120	771	5602
121	780	5615
122	792	5652
123	808	5714
124	817	5724
125	828	5744
126	833	5731
127	842	5738
128	848	5726
129	854	5718
130	861	5712
131	866	5694
132	872	5686
133	877	5669
134	882	5652
135	890	5655
136	895	5642
137	902	5636
138	907	5621
139	912	5607
140	918	5596
141	924	5587
142	930	5573
143	936	5566
144	941	5554
145	947	5543
146	953	5533
147	958	5519
148	965	5512
149	970	5499
150	976	5488
151	983	5485
152	990	5482
153	1015	5580
154	1026	5597
155	1036	5607
156	1043	5605
157	1051	5604
158	1070	5660
159	1076	5653
160	1083	5647
161	1089	5634
162	1094	5622
163	1101	5615
164	1107	5602
165	1113	5594
166	1119	5582
167	1124	5569
168	1132	5566
169	1138	5556
170	1144	5550
171	1150	5538
172	1157	5531
173	1166	5539
174	1174	5535
175	1182	5538
176	1190	5535
177	1198	5533
178	1203	5521
179	1213	5526
180	1221	5524
181	1229	5525
182	1241	5544
183	1254	5562
184	1263	5566
185	1270	5559
186	1278	5557
187	1284	5547
188	1291	5543
189	1297	5531
190	1303	5519
191	1308	5508
192	1314	5495
193	1331	5530
194	1348	5568
195	1366	5606
196	1374	5602
197	1380	5589
198	1392	5606
199	1398	5592
200	1404	5582
201	1412	5579
202	1419	5574
203	1425	5563
204	1431	5551
205	1439	5547
206	1445	5537
207	1452	5532
208	1458	5521
209	1464	5510
210	1472	5506
211	1478	5494
212	1484	5483
213	1489	5469
214	1494	5455
215	1500	5445
216	1507	5437
217	1513	5427
218	1519	5419
219	1525	5409
220	1532	5401
221	1542	5407
222	1549	5400
223	1556	5390
224	1561	5378
225	1568	5371
226	1574	5362
227	1581	5354
228	1587	5344
229	1593	5336
230	1601	5330
231	1607	5320
232	1614	5314
233	1620	5305
234	1626	5295
235	1633	5288
236	1639	5276
237	1645	5267
238	1653	5265
239	1659	5255
240	1666	5247
241	1671	5235
242	1679	5232
243	1686	5226
244	1693	5218
245	1699	5209
246	1706	5201
247	1714	5199
248	1721	5190
249	1728	5186
250	1734	5175
251	1741	5170
252	1749	5164
253	1755	5155
254	1763	5151
255	1768	5140
256	1775	5132
257	1782	5125
258	1792	5128
259	1800	5124
260	1809	5122
261	1816	5115
262	1824	5112
263	1831	5105
264	1844	5114
265	1878	5182
266	1895	5204
267	1908	5212
268	1921	5222
269	1934	5229
270	1944	5230
271	1958	5240
272	1974	5257
273	1990	5275
274	2000	5273
275	2010	5272
276	2016	5263
277	2041	5302
278	2048	5294
279	2056	5287
280	2062	5278
281	2069	5270
282	2076	5259
283	2083	5253
284	2089	5242
285	2095	5232
286	2103	5224
287	2109	5214
288	2115	5205
289	2122	5195
290	2132	5196
291	2140	5189
292	2148	5185
293	2155	5175
294	2162	5168
295	2168	5158
296	2174	5148
297	2182	5140
298	2188	5130
299	2195	5121
300	2201	5112
301	2208	5103
302	2215	5095
303	2218	5079
304	2225	5071
305	2232	5062
306	2238	5052
307	2246	5046
308	2252	5037
309	2261	5032
310	2268	5024
311	2275	5018
312	2282	5009
313	2289	5002
314	2298	4998
315	2307	4994
316	2314	4985
317	2321	4979
318	2328	4970
319	2334	4961
320	2343	4957
321	2350	4949
322	2360	4947
323	2366	4936
324	2373	4929
325	2379	4920
326	2393	4925
327	2406	4929
328	2413	4923
329	2423	4921
330	2434	4921
331	2442	4915
332	2451	4910
333	2458	4901
334	2467	4897
335	2476	4893
336	2485	4889
337	2492	4881
338	2500	4876
339	2507	4867
340	2517	4864
341	2524	4856
342	2534	4854
343	2541	4846
344	2549	4840
345	2557	4833
346	2565	4828
347	2572	4820
348	2581	4814
349	2588	4807
350	2596	4800
351	2603	4793
352	2612	4787
353	2619	4779
354	2627	4773
355	2634	4766
356	2644	4763
357	2651	4754
358	2659	4748
359	2665	4739
360	2676	4737
361	2694	4748
362	2702	4742
363	2710	4735
364	2716	4725
365	2723	4718
366	2731	4710
367	2736	4700
368	2743	4691
369	2749	4680
370	2755	4672
371	2761	4661
372	2767	4651
373	2774	4643
374	2780	4633
375	2787	4625
376	2793	4615
377	2798	4605
378	2805	4596
379	2811	4586
380	2818	4578
381	2824	4569
382	2829	4558
383	2837	4551
384	2842	4540
385	2848	4531
386	2854	4521
387	2862	4514
388	2870	4509
389	2876	4499
390	2883	4491
